95,0,21
96,1,16
97,0,21
98,1,16
99,0,21
0,1,16
1,0,21
2,1,16
3,0,21
4,1,16
5,0,21
6,1,16
7,0,21
8,1,16
9,0,21
10,1,16
11,0,21
12,1,16
13,0,21
14,1,16
15,0,21
16,1,17
17,0,21
18,1,16
19,0,21
20,1,16
21,0,21
22,1,16
23,0,21
24,1,16
25,0,21
26,1,16
27,0,21
28,1,16
29,0,21
30,1,16
31,0,21
32,1,17
33,0,21
34,1,16
35,0,21
36,1,16
37,0,21
38,1,16
39,0,21
40,1,16
41,0,21
42,1,16
43,0,21
44,1,16
45,0,21
46,1,16
47,0,21
48,1,16
49,0,21
50,1,16
51,0,21
52,1,16
53,0,21
54,1,16
55,0,21
56,1,16
57,0,21
58,1,16
59,0,21
60,1,16
61,0,21
62,1,16
63,0,21
64,1,16
65,0,21
66,1,16
67,0,21
68,1,16
69,0,21
70,1,16
71,0,21
72,1,16
73,0,21
74,1,16
75,0,21
76,1,16
77,0,21
78,1,16
79,0,21
80,1,16
81,0,21
82,1,16
83,0,21
84,1,16
85,0,21
86,1,16
87,0,21
88,1,16
89,0,21
90,1,16
91,0,21
92,1,16
93,0,21
94,1,16
95,0,21
96,1,17
97,0,21
98,1,16
99,0,21
0,1,16
1,0,21
2,1,16
3,0,21
4,1,17
5,0,21
6,1,16
7,0,21
8,1,16
9,0,21
10,1,16
11,0,21
12,1,16
13,0,21
14,1,16
15,0,21
16,1,16
17,0,21
18,1,16
19,0,21
20,1,16
21,0,21
22,1,16
23,0,21
24,1,16
25,0,21
26,1,16
27,0,21
28,1,16
29,0,21
30,1,16
31,0,21
32,1,16
33,0,21
34,1,16
35,0,21
36,1,16
37,0,21
38,1,16
39,0,21
40,1,16
41,0,21
42,1,16
43,0,21
44,1,16
45,0,21
46,1,16
47,0,21
48,1,16
49,0,21
50,1,16
51,0,21
52,1,16
53,0,21
54,1,16
55,0,21
56,1,16
57,0,21
58,1,16
59,0,21
60,1,16
61,0,21
62,1,16
63,0,21
64,1,16
65,0,21
66,1,16
67,0,21
68,1,16
69,0,21
70,1,16
71,0,21
72,1,16
73,0,21
74,1,16
75,0,21
76,1,16
77,0,21
78,1,16
79,0,21
80,1,16
81,0,21
82,1,16
83,0,21
84,1,16
85,0,21
86,1,16
87,0,21
88,1,16
89,0,21
90,1,16
91,0,21
92,1,16
93,0,21
94,1,16
95,0,21
96,1,16
97,0,21
98,1,16
99,0,21
0,1,17
1,0,21
2,1,16
3,0,21
4,1,16
5,0,21
6,1,16
7,0,21
8,1,16
9,0,21
10,1,16
11,0,21
12,1,16
13,0,21
14,1,16
15,0,21
16,1,16
17,0,21
18,1,16
19,0,21
20,1,16
21,0,21
22,1,16
23,0,21
24,1,16
25,0,21
26,1,16
27,0,21
28,1,16
29,0,21
30,1,16
31,0,21
32,1,16
33,0,21
34,1,16
35,0,21
36,1,16
37,0,21
38,1,16
39,0,21
40,1,16
41,0,21
42,1,16
43,0,21
44,1,16
45,0,21
46,1,16
47,0,21
48,1,16
49,0,21
50,1,16
51,0,21
52,1,16
53,0,21
54,1,16
55,0,21
56,1,16
57,0,21
58,1,16
59,0,21
60,1,16
61,0,21
62,1,16
63,0,21
64,1,16
65,0,21
66,1,16
67,0,21
68,1,16
69,0,21
70,1,16
71,0,21
72,1,16
73,0,21
74,1,16
75,0,21
76,1,16
77,0,21
78,1,16
79,0,21
80,1,16
81,0,21
82,1,16
83,0,21
84,1,16
85,0,21
86,1,16
87,0,21
88,1,16
89,0,21
90,1,16
91,0,21
92,1,16
93,0,21
94,1,16
95,0,21
96,1,16
97,0,21
98,1,16
99,0,21
0,1,16
1,0,21
2,1,16
3,0,21
4,1,16
5,0,21
6,1,16
7,0,21
8,1,16
9,0,21
10,1,16
11,0,21
12,1,16
13,0,21
14,1,16
15,0,21
16,1,16
17,0,21
18,1,16
19,0,21
20,1,17
21,0,21
22,1,16
23,0,21
24,1,16
25,0,21
26,1,16
27,0,21
28,1,16
29,0,21
30,1,16
31,0,21
32,1,16
33,0,21
34,1,16
35,0,21
36,1,16
37,0,21
38,1,16
39,0,21
40,1,16
41,0,21
42,1,16
43,0,21
44,1,16
45,0,21
46,1,16
47,0,21
48,1,16
49,0,21
50,1,16
51,0,21
52,1,16
53,0,21
54,1,16
55,0,21
56,1,16
57,0,21
58,1,16
59,0,21
60,1,16
61,0,21
62,1,16
63,0,21
64,1,16
65,0,21
66,1,16
67,0,21
68,1,16
69,0,21
70,1,16
71,0,21
72,1,16
73,0,21
74,1,16
75,0,21
76,1,16
77,0,21
78,1,16
79,0,21
80,1,16
81,0,21
82,1,16
83,0,21
84,1,16
85,0,21
86,1,16
87,0,21
88,1,16
89,0,21
90,1,16
91,0,21
92,1,16
93,0,21
94,1,16
95,0,21
96,1,16
97,0,21
98,1,16
99,0,21
0,1,16
1,0,21
2,1,16
3,0,21
4,1,16
5,0,21
6,1,16
7,0,21
8,1,16
9,0,21
10,1,16
11,0,21
12,1,16
13,0,21
14,1,16
15,0,21
16,1,16
17,0,21
18,1,16
19,0,21
20,1,16
21,0,21
22,1,16
23,0,21
24,1,16
25,0,21
26,1,16
27,0,21
28,1,16
29,0,21
30,1,16
31,0,21
32,1,16
33,0,21
34,1,16
35,0,21
36,1,16
37,0,21
38,1,16
39,0,21
40,1,16
41,0,21
42,1,16
43,0,21
44,1,16
45,0,21
46,1,16
47,0,21
48,1,16
49,0,21
50,1,16
51,0,21
52,1,16
53,0,21
54,1,16
55,0,21
56,1,16
57,0,21
58,1,16
59,0,21
60,1,16
61,0,21
62,1,16
63,0,21
64,1,16
65,0,21
66,1,16
67,0,21
68,1,16
69,0,21
70,1,16
71,0,21
72,1,16
73,0,21
74,1,16
75,0,21
76,1,16
77,0,21
78,1,16
79,0,21
80,1,16
81,0,21
82,1,16
83,0,21
84,1,16
85,0,21
86,1,16
87,0,21
88,1,16
89,0,21
90,1,16
91,0,21
92,1,16
93,0,21
94,1,16
95,0,21
96,1,16
97,0,21
98,1,16
99,0,21
0,1,16
1,0,21
2,1,16
3,0,21
4,1,16
5,0,21
6,1,16
7,0,21
8,1,16
9,0,21
10,1,16
11,0,21
12,1,16
13,0,21
14,1,16
15,0,21
16,1,16
17,0,21
18,1,16
19,0,21
20,1,16
21,0,21
22,1,16
23,0,21
24,1,16
25,0,21
26,1,16
27,0,21
28,1,16
29,0,21
30,1,16
31,0,21
32,1,16
33,0,21
34,1,16
35,0,21
36,1,16
37,0,21
38,1,16
39,0,21
40,1,16
41,0,21
42,1,16
43,0,21
44,1,16
45,0,21
46,1,16
47,0,21
48,1,16
49,0,21
50,1,16
51,0,21
52,1,16
53,0,21
54,1,16
55,0,21
56,1,16
57,0,21
58,1,16
59,0,21
60,1,16
61,0,21
62,1,16
63,0,21
64,1,16
65,0,21
66,1,16
67,0,21
68,1,16
69,0,21
70,1,16
71,0,21
72,1,16
73,0,21
74,1,16
75,0,21
76,1,16
77,0,21
78,1,16
79,0,21
80,1,16
81,0,21
82,1,16
83,0,21
84,1,16
85,0,21
86,1,16
87,0,21
88,1,16
89,0,21
90,1,16
91,0,21
92,1,16
93,0,21
94,1,16
95,0,21
96,1,16
97,0,21
98,1,16
99,0,21
0,1,17
1,0,21
2,1,16
3,0,21
4,1,16
5,0,21
6,1,16
7,0,21
8,1,16
9,0,21
10,1,16
11,0,21
12,1,16
13,0,21
14,1,16
15,0,21
16,1,16
17,0,21
18,1,16
19,0,21
20,1,16
21,0,21
22,1,16
23,0,21
24,1,16
25,0,21
26,1,16
27,0,21
28,1,16
29,0,21
30,1,16
31,0,21
32,1,16
33,0,21
34,1,16
35,0,21
36,1,16
37,0,21
38,1,16
39,0,21
40,1,16
41,0,21
42,1,16
43,0,21
44,1,16
45,0,21
46,1,16
47,0,21
48,1,16
49,0,21
50,1,16
51,0,21
52,1,16
53,0,21
54,1,16
55,0,21
56,1,17
57,0,21
58,1,16
59,0,21
60,1,16
61,0,21
62,1,16
63,0,21
64,1,16
65,0,21
66,1,16
67,0,21
68,1,16
69,0,21
70,1,16
71,0,21
72,1,17
73,0,21
74,1,16
75,0,21
76,1,16
77,0,21
78,1,16
79,0,21
80,1,17
81,0,21
82,1,16
83,0,21
84,1,16
85,0,21
86,1,16
87,0,21
88,1,16
89,0,21
90,1,16
91,0,21
92,1,16
93,0,21
94,1,16
95,0,21
96,1,16
97,0,21
98,1,16
99,0,21
0,1,16
1,0,21
2,1,16
3,0,21
4,1,17
5,0,21
6,1,16
7,0,21
8,1,16
9,0,21
10,1,16
11,0,21
12,1,16
13,0,21
14,1,16
15,0,21
16,1,16
17,0,21
18,1,16
19,0,21
20,1,16
21,0,21
22,1,16
23,0,21
24,1,16
25,0,21
26,1,16
27,0,21
28,1,16
29,0,21
30,1,16
31,0,21
32,1,16
33,0,21
34,1,16
35,0,21
36,1,16
37,0,21
38,1,16
39,0,21
40,1,16
41,0,21
42,1,16
43,0,21
44,1,16
45,0,21
46,1,16
47,0,21
48,1,16
49,0,21
50,1,16
51,0,21
52,1,16
53,0,21
54,1,16
55,0,21
56,1,16
57,0,21
58,1,16
59,0,21
60,1,16
61,0,21
62,1,16
63,0,21
64,1,16
65,0,21
66,1,16
67,0,21
68,1,16
69,0,21
70,1,16
71,0,21
72,1,16
73,0,21
74,1,16
75,0,21
76,1,16
77,0,21
78,1,16
79,0,21
80,1,16
81,0,21
82,1,16
83,0,21
84,1,16
85,0,21
86,1,16
87,0,21
88,1,16
89,0,21
90,1,16
91,0,21
92,1,16
93,0,21
94,1,16
95,0,21
96,1,16
97,0,21
98,1,16
99,0,21
0,1,17
1,0,21
2,1,16
3,0,21
4,1,16
5,0,21
6,1,16
7,0,21
8,1,16
9,0,21
10,1,16
11,0,21
12,1,16
13,0,21
14,1,16
15,0,21
16,1,16
17,0,21
18,1,16
19,0,21
20,1,16
21,0,21
22,1,16
23,0,21
24,1,16
25,0,21
26,1,16
27,0,21
28,1,16
29,0,21
30,1,16
31,0,21
32,1,16
33,0,21
34,1,16
35,0,21
36,1,16
37,0,21
38,1,17
39,0,21
40,1,16
41,0,21
42,1,16
43,0,21
44,1,16
45,0,21
46,1,16
47,0,21
48,1,16
49,0,21
50,1,16
51,0,21
52,1,16
53,0,21
54,1,16
55,0,21
56,1,16
57,0,21
58,1,16
59,0,21
60,1,16
61,0,21
62,1,16
63,0,21
64,1,16
65,0,21
66,1,16
67,0,21
68,1,16
69,0,21
70,1,16
71,0,21
72,1,16
73,0,21
74,1,16
75,0,21
76,1,16
77,0,21
78,1,16
79,0,21
80,1,16
81,0,21
82,1,16
83,0,21
84,1,16
85,0,21
86,1,16
87,0,21
88,1,16
89,0,21
90,1,16
91,0,21
92,1,16
93,0,21
94,1,16
95,0,21
96,1,16
97,0,21
98,1,16
99,0,21
0,1,16
1,0,21
2,1,16
3,0,21
4,1,16
5,0,21
6,1,16
7,0,21
8,1,16
9,0,21
10,1,16
11,0,21
12,1,16
13,0,21
14,1,16
15,0,21
16,1,16
17,0,21
18,1,16
19,0,21
20,1,16
21,0,21
22,1,16
23,0,21
24,1,16
25,0,21
26,1,16
27,0,21
28,1,16
29,0,21
30,1,16
31,0,21
32,1,16
33,0,21
34,1,16
35,0,21
36,1,16
37,0,21
38,1,16
39,0,21
40,1,16
41,0,21
42,1,16
43,0,21
44,1,16
45,0,21
46,1,16
47,0,21
48,1,16
49,0,21
50,1,16
51,0,21
52,1,16
53,0,21
54,1,16
55,0,21
56,1,16
57,0,21
58,1,16
59,0,21
60,1,16
61,0,21
62,1,16
63,0,21
64,1,16
65,0,21
66,1,16
67,0,21
68,1,16
69,0,21
70,1,16
71,0,21
72,1,16
73,0,21
74,1,16
75,0,21
76,1,16
77,0,21
78,1,16
79,0,21
80,1,16
81,0,21
82,1,16
83,0,21
84,1,16
85,0,21
86,1,16
87,0,21
88,1,16
89,0,21
90,1,16
91,0,21
92,1,16
93,0,21
94,1,16
95,0,21
96,1,16
97,0,21
98,1,16
99,0,21
0,1,16
1,0,21
2,1,16
3,0,21
4,1,16
5,0,21
6,1,16
7,0,21
8,1,16
9,0,21
10,1,16
11,0,21
12,1,16
13,0,21
14,1,16
15,0,21
16,1,16
17,0,21
18,1,16
19,0,21
20,1,16
21,0,21
22,1,16
23,0,21
24,1,16
25,0,21
26,1,16
27,0,21
28,1,16
29,0,21
30,1,16
31,0,21
32,1,16
33,0,21
34,1,16
35,0,21
36,1,16
37,0,21
38,1,16
39,0,21
40,1,16
41,0,21
42,1,16
43,0,21
44,1,16
45,0,21
46,1,16
47,0,21
48,1,16
49,0,21
50,1,16
51,0,21
52,1,16
53,0,21
54,1,16
55,0,21
56,1,16
57,0,21
58,1,16
59,0,21
60,1,16
61,0,21
62,1,16
63,0,21
64,1,16
65,0,21
66,1,16
67,0,21
68,1,16
69,0,21
70,1,16
71,0,21
72,1,16
73,0,21
74,1,16
75,0,21
76,1,16
77,0,21
78,1,16
79,0,21
80,1,16
81,0,21
82,1,16
83,0,21
84,1,16
85,0,21
86,1,16
87,0,21
88,1,16
89,0,21
90,1,16
91,0,21
92,1,16
93,0,21
94,1,16
95,0,21
96,1,16
97,0,21
98,1,16
99,0,21
0,1,16
1,0,21
2,1,16
3,0,21
4,1,16
5,0,21
6,1,16
7,0,21
8,1,16
9,0,21
10,1,16
11,0,21
12,1,16
13,0,21
14,1,16
15,0,21
16,1,16
17,0,21
18,1,16
19,0,21
20,1,16
21,0,21
22,1,16
23,0,21
24,1,16
25,0,21
26,1,16
27,0,21
28,1,16
29,0,21
30,1,16
31,0,21
32,1,16
33,0,21
34,1,16
35,0,21
36,1,16
37,0,21
38,1,16
39,0,21
40,1,16
41,0,21
42,1,16
43,0,21
44,1,16
45,0,21
46,1,16
47,0,21
48,1,16
49,0,21
50,1,16
51,0,21
52,1,16
53,0,21
54,1,16
55,0,21
56,1,16
57,0,21
58,1,16
59,0,21
60,1,16
61,0,21
62,1,16
63,0,21
64,1,16
65,0,21
66,1,16
67,0,21
68,1,16
69,0,21
70,1,16
71,0,21
72,1,16
73,0,21
74,1,16
75,0,21
76,1,16
77,0,21
78,1,16
79,0,21
80,1,16
81,0,21
82,1,16
83,0,21
84,1,16
85,0,21
86,1,16
87,0,21
88,1,16
89,0,21
90,1,16
91,0,21
92,1,16
93,0,21
94,1,16
95,0,21
96,1,16
97,0,21
98,1,16
99,0,21
0,1,16
1,0,21
2,1,16
3,0,21
4,1,16
5,0,21
6,1,16
7,0,21
8,1,16
9,0,21
10,1,16
11,0,21
12,1,16
13,0,21
14,1,16
15,0,21
16,1,16
17,0,21
18,1,16
19,0,21
20,1,16
21,0,21
22,1,16
23,0,21
24,1,16
25,0,21
26,1,16
27,0,21
28,1,16
29,0,21
30,1,16
31,0,21
32,1,16
33,0,21
34,1,16
35,0,21
36,1,16
37,0,21
38,1,16
39,0,21
40,1,16
41,0,21
42,1,16
43,0,21
44,1,16
45,0,21
46,1,16
47,0,21
48,1,16
49,0,21
50,1,16
51,0,21
52,1,16
53,0,21
54,1,16
55,0,21
56,1,16
57,0,21
58,1,16
59,0,21
60,1,16
61,0,21
62,1,16
63,0,21
64,1,16
65,0,21
66,1,16
67,0,21
68,1,16
69,0,21
70,1,16
71,0,21
72,1,16
73,0,21
74,1,16
75,0,21
76,1,16
77,0,21
78,1,16
79,0,21
80,1,16
81,0,21
82,1,16
83,0,21
84,1,16
85,0,21
86,1,16
87,0,21
88,1,16
89,0,21
90,1,16
91,0,21
92,1,16
93,0,21
94,1,16
95,0,21
96,1,16
97,0,21
98,1,16
99,0,21
0,1,16
1,0,21
2,1,16
3,0,21
4,1,16
5,0,21
6,1,16
7,0,21
8,1,16
9,0,21
10,1,16
11,0,21
12,1,16
13,0,21
14,1,16
15,0,21
16,1,16
17,0,21
18,1,16
19,0,21
20,1,16
21,0,21
22,1,16
23,0,21
24,1,16
25,0,21
26,1,16
27,0,21
28,1,16
29,0,21
30,1,16
31,0,21
32,1,16
33,0,21
34,1,16
35,0,21
36,1,16
37,0,21
38,1,16
39,0,21
40,1,16
41,0,21
42,1,16
43,0,21
44,1,16
45,0,21
46,1,16
47,0,21
48,1,16
49,0,21
50,1,16
51,0,21
52,1,16
53,0,21
54,1,16
55,0,21
56,1,16
57,0,18
58,1,16
59,0,21
60,1,16
61,0,21
62,1,16
63,0,21
64,1,17
65,0,21
66,1,16
67,0,21
68,1,16
69,0,21
70,1,17
71,0,21
72,1,16
73,0,21
74,1,16
75,0,21
76,1,16
77,0,21
78,1,16
79,0,21
80,1,16
81,0,21
82,1,16
83,0,21
84,1,16
85,0,21
86,1,16
87,0,21
88,1,16
89,0,21
90,1,16
91,0,21
92,1,16
93,0,21
94,1,16
95,0,21
96,1,16
97,0,21
98,1,16
99,0,21
0,1,16
1,0,21
2,1,16
3,0,21
4,1,16
5,0,21
6,1,16
7,0,21
8,1,16
9,0,21
10,1,16
11,0,21
12,1,16
13,0,21
14,1,16
15,0,21
16,1,16
17,0,21
18,1,16
19,0,21
20,1,16
21,0,21
22,1,16
23,0,21
24,1,16
25,0,21
26,1,16
27,0,21
28,1,16
29,0,21
30,1,16
31,0,21
32,1,16
33,0,21
34,1,16
35,0,21
36,1,16
37,0,21
38,1,16
39,0,21
40,1,16
41,0,21
42,1,16
43,0,21
44,1,16
45,0,21
46,1,16
47,0,21
48,1,16
49,0,21
50,1,16
51,0,21
52,1,16
53,0,21
54,1,16
55,0,21
56,1,16
57,0,21
58,1,16
59,0,21
60,1,16
61,0,21
62,1,16
63,0,21
64,1,16
65,0,21
66,1,16
67,0,21
68,1,16
69,0,21
70,1,16
71,0,21
72,1,16
73,0,21
74,1,16
75,0,21
76,1,16
77,0,21
78,1,16
79,0,21
80,1,16
81,0,21
82,1,16
83,0,21
84,1,16
85,0,21
86,1,16
87,0,21
88,1,16
89,0,21
90,1,16
91,0,21
92,1,16
93,0,21
94,1,16
95,0,21
96,1,16
97,0,21
98,1,16
99,0,21
0,1,16
1,0,21
2,1,16
3,0,21
4,1,16
5,0,21
6,1,16
7,0,21
8,1,16
9,0,21
10,1,16
11,0,21
12,1,16
13,0,21
14,1,16
15,0,21
16,1,16
17,0,21
18,1,16
19,0,21
20,1,16
21,0,21
22,1,16
23,0,21
24,1,16
25,0,21
26,1,16
27,0,21
28,1,16
29,0,21
30,1,16
31,0,21
32,1,16
33,0,21
34,1,16
35,0,21
36,1,16
37,0,21
38,1,16
39,0,21
40,1,16
41,0,21
42,1,16
43,0,21
44,1,16
45,0,21
46,1,16
47,0,21
48,1,16
49,0,21
50,1,16
51,0,21
52,1,16
53,0,21
54,1,16
55,0,21
56,1,16
57,0,21
58,1,16
59,0,21
60,1,16
61,0,21
62,1,16
63,0,21
64,1,16
65,0,21
66,1,16
67,0,21
68,1,16
69,0,21
70,1,16
71,0,21
72,1,16
73,0,21
74,1,16
75,0,21
76,1,16
77,0,21
78,1,16
79,0,21
80,1,16
81,0,21
82,1,16
83,0,21
84,1,16
85,0,21
86,1,16
87,0,21
88,1,16
89,0,21
90,1,16
91,0,21
92,1,16
93,0,21
94,1,16
95,0,21
96,1,16
97,0,21
98,1,16
99,0,21
0,1,16
1,0,21
2,1,16
3,0,21
4,1,16
5,0,21
6,1,16
7,0,21
8,1,16
9,0,21
10,1,16
11,0,21
12,1,17
13,0,21
14,1,16
15,0,21
16,1,16
17,0,21
18,1,16
19,0,21
20,1,16
21,0,21
22,1,16
23,0,21
24,1,16
25,0,21
26,1,16
27,0,21
28,1,16
29,0,21
30,1,16
31,0,21
32,1,16
33,0,21
34,1,16
35,0,21
36,1,16
37,0,21
38,1,16
39,0,21
40,1,16
41,0,21
42,1,16
43,0,21
44,1,16
45,0,21
46,1,16
47,0,21
48,1,16
49,0,21
50,1,16
51,0,21
52,1,16
53,0,21
54,1,16
55,0,21
56,1,16
57,0,21
58,1,16
59,0,21
60,1,16
61,0,21
62,1,16
63,0,21
64,1,16
65,0,21
66,1,16
67,0,21
68,1,16
69,0,21
70,1,16
71,0,21
72,1,16
73,0,21
74,1,16
75,0,21
76,1,16
77,0,21
78,1,16
79,0,21
80,1,16
81,0,21
82,1,16
83,0,21
84,1,16
85,0,21
86,1,16
87,0,21
88,1,16
89,0,21
90,1,16
91,0,21
92,1,16
93,0,21
94,1,16
95,0,21
96,1,16
97,0,21
98,1,16
99,0,21
0,1,16
1,0,21
2,1,16
3,0,21
4,1,16
5,0,21
6,1,16
7,0,21
8,1,16
9,0,21
10,1,16
11,0,21
12,1,16
13,0,21
14,1,16
15,0,21
16,1,16
17,0,21
18,1,16
19,0,21
20,1,16
21,0,21
22,1,16
23,0,21
24,1,16
25,0,21
26,1,16
27,0,21
28,1,16
29,0,21
30,1,16
31,0,21
32,1,16
33,0,21
34,1,16
35,0,21
36,1,16
37,0,21
38,1,16
39,0,21
40,1,16
41,0,21
42,1,16
43,0,21
44,1,16
45,0,21
46,1,16
47,0,21
48,1,16
49,0,21
50,1,16
51,0,21
52,1,16
53,0,21
54,1,16
55,0,21
56,1,16
57,0,21
58,1,16
59,0,21
60,1,16
61,0,21
62,1,16
63,0,21
64,1,16
65,0,21
66,1,16
67,0,21
68,1,16
69,0,21
70,1,16
71,0,21
72,1,16
73,0,21
74,1,16
75,0,21
76,1,16
77,0,21
78,1,16
79,0,21
80,1,16
81,0,21
82,1,16
83,0,21
84,1,16
85,0,21
86,1,16
87,0,21
88,1,16
89,0,21
90,1,16
91,0,21
92,1,16
93,0,21
94,1,16
95,0,21
96,1,16
97,0,21
98,1,16
99,0,21
0,1,16
1,0,21
2,1,16
3,0,21
4,1,16
5,0,21
6,1,16
7,0,21
8,1,16
9,0,21
10,1,16
11,0,21
12,1,17
13,0,21
14,1,16
15,0,21
16,1,16
17,0,21
18,1,16
19,0,21
20,1,16
21,0,21
22,1,16
23,0,21
24,1,16
25,0,21
26,1,16
27,0,21
28,1,16
29,0,21
30,1,16
31,0,21
32,1,16
33,0,21
34,1,16
35,0,21
36,1,16
37,0,21
38,1,16
39,0,21
40,1,16
41,0,21
42,1,16
43,0,21
44,1,16
45,0,21
46,1,16
47,0,21
48,1,16
49,0,21
50,1,16
51,0,21
52,1,16
53,0,21
54,1,16
55,0,21
56,1,16
57,0,21
58,1,16
59,0,21
60,1,16
61,0,21
62,1,16
63,0,21
64,1,16
65,0,21
66,1,16
67,0,21
68,1,16
69,0,21
70,1,16
71,0,21
72,1,16
73,0,21
74,1,16
75,0,17
76,1,16
77,0,21
78,1,16
79,0,21
80,1,16
81,0,21
82,1,16
83,0,21
84,1,16
85,0,21
86,1,16
87,0,21
88,1,16
89,0,21
90,1,17
91,0,21
92,1,16
93,0,21
94,1,16
95,0,21
96,1,16
97,0,21
98,1,17
99,0,21
0,1,16
1,0,21
2,1,16
3,0,21
4,1,16
5,0,21
6,1,16
7,0,21
8,1,16
9,0,21
10,1,16
11,0,21
12,1,16
13,0,21
14,1,17
15,0,21
16,1,16
17,0,21
18,1,16
19,0,21
20,1,16
21,0,21
22,1,17
23,0,21
24,1,16
25,0,21
26,1,16
27,0,21
28,1,16
29,0,21
30,1,17
31,0,21
32,1,16
33,0,21
34,1,16
35,0,21
36,1,16
37,0,21
38,1,17
39,0,21
40,1,16
41,0,21
42,1,16
43,0,21
44,1,16
45,0,21
46,1,17
47,0,21
48,1,16
49,0,21
50,1,16
51,0,21
52,1,16
53,0,21
54,1,17
55,0,21
56,1,16
57,0,21
58,1,16
59,0,21
60,1,16
61,0,21
62,1,17
63,0,21
64,1,16
65,0,21
66,1,16
67,0,21
68,1,16
69,0,21
70,1,17
71,0,21
72,1,16
73,0,21
74,1,16
75,0,21
76,1,16
77,0,21
78,1,17
79,0,21
80,1,16
81,0,21
82,1,16
83,0,21
84,1,16
85,0,21
86,1,17
87,0,21
88,1,16
89,0,21
90,1,16
91,0,21
92,1,16
93,0,21
94,1,17
95,0,21
96,1,16
97,0,21
98,1,16
99,0,21
0,1,16
1,0,21
2,1,17
3,0,21
4,1,16
5,0,21
6,1,16
7,0,21
8,1,16
9,0,21
10,1,17
11,0,21
12,1,16
13,0,21
14,1,16
15,0,21
16,1,16
17,0,21
18,1,17
19,0,21
20,1,16
21,0,21
22,1,16
23,0,21
24,1,16
25,0,21
26,1,17
27,0,21
28,1,16
29,0,21
30,1,16
31,0,21
32,1,16
33,0,21
34,1,17
35,0,21
36,1,16
37,0,21
38,1,16
39,0,21
40,1,16
41,0,21
42,1,17
43,0,21
44,1,16
45,0,21
46,1,16
47,0,21
48,1,16
49,0,21
50,1,17
51,0,21
52,1,16
53,0,21
54,1,16
55,0,21
56,1,16
57,0,21
58,1,17
59,0,21
60,1,16
61,0,21
62,1,16
63,0,21
64,1,16
65,0,21
66,1,17
67,0,21
68,1,16
69,0,21
70,1,16
71,0,21
72,1,16
73,0,21
74,1,17
75,0,21
76,1,16
77,0,21
78,1,16
79,0,21
80,1,16
81,0,21
82,1,17
83,0,21
84,1,16
85,0,21
86,1,16
87,0,21
88,1,16
89,0,21
90,1,17
91,0,21
92,1,16
93,0,21
94,1,16
95,0,21
96,1,16
97,0,21
98,1,17
99,0,21
0,1,16
1,0,21
2,1,16
3,0,21
4,1,16
5,0,21
6,1,17
7,0,21
8,1,16
9,0,21
10,1,16
11,0,21
12,1,16
13,0,21
14,1,17
15,0,21
16,1,16
17,0,21
18,1,16
19,0,21
20,1,16
21,0,21
22,1,17
23,0,21
24,1,16
25,0,21
26,1,16
27,0,21
28,1,16
29,0,21
30,1,17
31,0,21
32,1,16
